idx,return,steps,failure,wall_dt
828,1.0,14,0,1.0334038780000014
829,1.0,14,0,1.0344847860000073
830,1.0,14,0,1.0357037500000104
831,1.0,14,0,1.0368259100000046
832,1.0,15,0,1.038020285000016
833,1.0,14,0,1.0391358660000094
834,1.0,15,0,1.040347397000005
835,1.0,14,0,1.0415226329999996
836,1.0,14,0,1.0426236420000237
837,1.0,14,0,1.0437099970000077
838,1.0,14,0,1.0448167100000205
839,0.0,14,1,1.0459778379999989
840,1.0,14,0,1.047083258000015
841,1.0,14,0,1.0481803440000022
842,1.0,14,0,1.0492746710000063
843,1.0,14,0,1.0503651330000139
844,1.0,14,0,1.051456308000013
845,1.0,14,0,1.052666357000021
846,1.0,16,0,1.0538802680000003
847,1.0,14,0,1.0549873430000218
848,1.0,14,0,1.0560954280000203
849,1.0,14,0,1.0571938559999978
850,1.0,14,0,1.0582889990000126
851,1.0,18,1,1.0595130810000057
852,1.0,16,0,1.060758600000014
853,1.0,14,0,1.0619528820000141
854,1.0,14,0,1.0630616250000173
855,1.0,14,0,1.0641565000000242
856,1.0,14,0,1.0652533570000173
857,1.0,14,0,1.0663386150000065
858,1.0,14,0,1.067446676000003
859,1.0,14,0,1.068619128000023
860,1.0,14,0,1.0698064450000118
861,0.0,9,1,1.0709068200000047
862,1.0,15,0,1.0721649600000092
863,1.0,16,0,1.0733782870000255
864,1.0,17,1,1.0746000490000256
865,1.0,16,0,1.075806813000014
866,1.0,15,0,1.0769973680000078
867,1.0,16,0,1.0782107859999996
868,1.0,15,0,1.0794036580000181
869,0.0,11,1,1.080570845000011
870,1.0,16,0,1.0817852130000176
871,1.0,14,0,1.082888440000005
872,1.0,16,0,1.084090434000018
873,0.0,12,1,1.085358345000003
874,1.0,16,0,1.0865642630000139
875,1.0,14,0,1.0876717030000123
876,1.0,16,0,1.0888955040000212
877,1.0,14,0,1.089994924000024
878,1.0,14,0,1.0911260459999994
879,1.0,14,0,1.0922170510000058
880,1.0,16,0,1.0934646760000248
881,0.0,12,1,1.0946108640000034
882,1.0,14,0,1.0957094210000093
883,1.0,14,0,1.0968276119999985
884,1.0,14,0,1.0979542700000025
885,0.0,7,1,1.0990301070000044
886,1.0,16,0,1.1002543110000147
887,1.0,14,0,1.1013642679999975
888,1.0,14,0,1.1024942980000105
889,1.0,14,0,1.103609634999998
890,1.0,16,0,1.1048514269999998
891,1.0,14,0,1.1059641610000028
892,1.0,14,0,1.1070876670000018
893,0.0,14,1,1.1082733990000122
894,1.0,14,0,1.1093787470000223
895,0.0,16,1,1.1105884230000242
896,1.0,16,0,1.1118396690000054
897,1.0,15,0,1.113029928000003
898,1.0,14,0,1.1141437720000056
899,1.0,14,0,1.1152694310000015
900,1.0,14,0,1.1163637280000103
901,1.0,16,0,1.117623205000001
902,1.0,14,0,1.1188546710000082
903,1.0,18,1,1.1202332660000138
904,1.0,14,0,1.1213422370000217
905,1.0,20,1,1.122612815000025
906,1.0,15,0,1.1238111410000045
907,1.0,14,0,1.1249297160000253
908,1.0,14,0,1.126112701000011
909,1.0,14,0,1.1272204050000028
910,1.0,15,0,1.128398997000005
911,1.0,14,0,1.1296350510000082
912,1.0,14,0,1.1308257440000204
913,1.0,14,0,1.1321903800000257
914,1.0,14,0,1.1334218300000032
915,1.0,18,1,1.1347214370000245
916,1.0,14,0,1.1358749010000224
917,1.0,14,0,1.1370232010000052
918,1.0,14,0,1.1381362550000063
919,1.0,16,0,1.1393637520000084
920,1.0,14,0,1.1405137780000132
921,1.0,16,0,1.1417548900000156
922,1.0,15,0,1.1429946089999987
923,1.0,14,0,1.1441449050000188
924,1.0,14,0,1.145259889000016
925,1.0,14,0,1.1463654770000176
926,1.0,14,0,1.1475308349999978
927,1.0,16,0,1.1487628290000202
928,1.0,16,0,1.1500335630000222
929,1.0,14,0,1.1511607560000243
930,1.0,14,0,1.1523465740000063
931,1.0,14,0,1.1534489990000054
932,1.0,14,0,1.1545595750000075
933,1.0,14,0,1.155682162000005
934,1.0,16,0,1.1569234800000174
935,1.0,14,0,1.1580274180000174
936,0.0,12,1,1.1591928180000082
937,1.0,15,0,1.1603996950000237
938,1.0,14,0,1.161569553000021
939,1.0,14,0,1.162674227000025
940,0.0,9,1,1.163822429000021
941,1.0,14,0,1.1650371170000255
942,1.0,16,0,1.1662404150000043
